T_Set,Thermostate_Switch,T_Room
19,0,20.0132
19,0,20.0008
19,0,19.9883
19,0,19.9756
19,0,19.9628
19,0,19.9499
19,0,19.9368
19,0,19.9236
19,0,19.9102
19,0,19.8967
19,0,19.8831
19,0,19.8694
19,0,19.8555
19,0,19.8415
19,0,19.8274
19,0,19.8132
19,0,19.7989
19,0,19.7844
19,0,19.7699
19,0,19.7552
19,0,19.7404
19,0,19.7256
19,0,19.7106
19,0,19.6955
19,0,19.6803
19,0,19.6651
19,0,19.6497
19,0,19.6342
19,0,19.6187
19,0,19.603
19,0,19.5873
19,0,19.5715
19,0,19.5556
19,0,19.5396
19,0,19.5236
19,0,19.5074
19,0,19.4912
19,0,19.4749
19,0,19.4585
19,0,19.4421
19,0,19.4256
19,0,19.409
19,0,19.3924
19,0,19.3757
19,0,19.3589
19,0,19.3421
19,0,19.3252
19,0,19.3082
19,0,19.2912
19,0,19.2741
19,0,19.257
19,0,19.2398
19,0,19.2225
19,0,19.2052
19,0,19.1879
19,0,19.1705
19,0,19.153
19,0,19.1355
19,0,19.118
19,0,19.1004
19,0,19.0828
19,0,19.0651
19,0,19.0474
19,0,19.0296
19,0,19.0118
19,0,18.994
19,0,18.9761
19,0,18.9582
19,0,18.9403
19,0,18.9223
19,0,18.9043
19,0,18.8863
19,0,18.8682
19,0,18.8501
19,0,18.832
19,0,18.8138
19,0,18.7956
19,0,18.7774
19,0,18.7591
19,0,18.7409
19,0,18.7226
19,0,18.7043
19,0,18.6859
19,0,18.6676
19,0,18.6492
19,0,18.6308
19,0,18.6124
19,0,18.594
19,0,18.5755
19,0,18.5571
19,0,18.5386
19,0,18.5201
19,0,18.5016
19,0,18.4831
19,1,18.4645
19,1,18.4493
19,1,18.4375
19,1,18.4289
19,1,18.4236
19,1,18.4214
19,1,18.4224
19,1,18.4264
19,1,18.4334
19,1,18.4435
19,1,18.4565
19,1,18.4721
19,1,18.4901
19,1,18.5103
19,1,18.5324
19,1,18.5562
19,1,18.5816
19,1,18.6084
19,1,18.6364
19,1,18.6655
19,1,18.6957
19,1,18.7267
19,1,18.7585
19,1,18.7909
19,1,18.824
19,1,18.8576
19,1,18.8916
19,1,18.9261
19,1,18.9608
19,1,18.9959
19,1,19.0312
19,1,19.0666
19,1,19.1023
19,1,19.138
19,1,19.1738
19,1,19.2097
19,1,19.2456
19,1,19.2815
19,1,19.3174
19,1,19.3532
19,1,19.389
19,1,19.4248
19,1,19.4604
19,1,19.4959
19,1,19.5314
19,0,19.5667
19,0,19.6011
19,0,19.6348
19,0,19.6676
19,0,19.6996
19,0,19.7308
19,0,19.7612
19,0,19.7908
19,0,19.8197
19,0,19.8478
19,0,19.8752
19,0,19.9018
19,0,19.9277
19,0,19.9529
19,0,19.9774
19,0,20.0013
19,0,20.0244
19,0,20.0468
19,0,20.0686
19,0,20.0898
19,0,20.1103
19,0,20.1302
19,0,20.1494
19,0,20.168
19,0,20.186
19,0,20.2035
19,0,20.2203
19,0,20.2365
19,0,20.2522
19,0,20.2673
19,0,20.2819
19,0,20.2959
19,0,20.3093
19,0,20.3223
19,0,20.3347
19,0,20.3465
19,0,20.3579
19,0,20.3688
19,0,20.3792
19,0,20.3891
19,0,20.3985
19,0,20.4074
19,0,20.4159
19,0,20.4239
19,0,20.4315
19,0,20.4386
19,0,20.4452
19,0,20.4515
19,0,20.4573
19,0,20.4627
19,0,20.4676
19,0,20.4722
19,0,20.4764
19,0,20.4801
19,0,20.4835
19,0,20.4865
19,0,20.4891
19,0,20.4914
19,0,20.4933
19,0,20.4948
19,0,20.4959
19,0,20.4967
19,0,20.4972
19,0,20.4973
19,0,20.4971
19,0,20.4966
19,0,20.4957
19,0,20.4945
19,0,20.493
19,0,20.4912
19,0,20.4891
19,0,20.4866
19,0,20.4839
19,0,20.4809
19,0,20.4776
19,0,20.474
19,0,20.4702
19,0,20.466
19,0,20.4616
19,0,20.457
19,0,20.4521
19,0,20.4469
19,0,20.4414
19,0,20.4357
19,0,20.4298
19,0,20.4236
19,0,20.4172
19,0,20.4106
19,0,20.4037
19,0,20.3966
